Source,Name,Label,type
"contract CON1 {
address VAR1;
function FUN1(address VAR2, uint VAR3) {
require(VAR1==msg.sender);
VAR2.delegatecall(bytes4(keccak256(""setN(uint256)"")), VAR3);
}
}",50061.sol,0,delegatecall
"contract CON1 {
address public VAR1;
function FUN1() {
VAR1 = msg.sender;
}
}
contract CON2 {
CON1 VAR2;
function FUN2() {
if(!VAR2.delegatecall(msg.data)) { throw; }
}
}",317.sol,1,delegatecall
"contract CON1 {
address public VAR1;
function FUN1() {
VAR1 = msg.sender;
}
}
contract CON2 {
CON1 VAR2;
function FUN2() {
if (msg.data.length > 0)
VAR2.delegatecall(msg.data);
}
}",51001.sol,1,delegatecall
"contract CON1{
function CON1(address VAR1) public {
uint256 VAR2 = 3 * 32;
uint256 VAR3 = 4 + VAR2;
bytes memory VAR4 = new bytes(VAR3);
require(VAR1.delegatecall(VAR4));
}
}",13012.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1, uint VAR2) {
VAR1.delegatecall(bytes4(keccak256(""setN(uint256)"")), VAR2);
}
}",50023.sol,1,delegatecall
"contract CON1 {
enum States {Closed}
struct Crowdsale {
uint256 VAR1;
bool VAR2;
States VAR3;
}
mapping(address => Crowdsale) public VAR4;
function FUN1(address VAR5) external {
require(block.timestamp >= VAR4[VAR5].VAR1);
VAR4[VAR5].VAR3 = States.Closed;
}
}",16.sol,0,delegatecall
"contract CON1 {
uint64 VAR1;
function FUN1() public {
uint64 VAR2 = uint64(block.timestamp);
require(VAR2 >= VAR1);
}
}",48.sol,0,delegatecall
"contract CON1 {
address public VAR1;
function FUN1() {
VAR1 = msg.sender;
}
}
contract CON2 {
CON1 VAR2;
function FUN2() {
require(VAR2.delegatecall(msg.data));
}
}",51000.sol,1,delegatecall
"contract CON1 {
function FUN1() public {
assembly {
let result := delegatecall(gas, 0x0D6C969d0004B431189f834203CE0f5530e06259, 0, calldatasize, 0, 0)
returndatacopy(0, 0, returndatasize)
}
}
}",1518.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1) public {
require(!VAR1.delegatecall(msg.data));
}
}",652.sol,1,delegatecall
"contract CON1 {
function FUN1(address VAR1, bytes memory VAR2) public payable {
VAR1.delegatecall(VAR2);
}
}",50005.sol,1,delegatecall
"contract CON1 {
uint public VAR1;
function FUN1() external constant returns (uint256) {
if(VAR1 > block.timestamp)
return VAR1;
else
return 0;
}
}",38.sol,0,delegatecall
"contract CON1 {
function FUN1(address VAR1) external returns (bool VAR2) {
VAR2 = VAR1.delegatecall(bytes4(sha3(""address)"")), this);
return VAR2;
}
}",1138.sol,1,delegatecall
"contract CON1 {
function FUN1(bytes32 VAR1, uint VAR2) public returns(bytes32 VAR3) {
bool VAR4;
address VAR5 = 0xc0FFeEE61948d8993864a73a099c0E38D887d3F4;
VAR3 = bytes32(0x00);
assembly {
VAR4 := iszero(delegatecall(sub(gas, 10000), VAR5, VAR1, VAR2, VAR3, 0x20))
}
require(!VAR4);
}
}",22229.sol,0,delegatecall
"contract CON1 {
address public VAR1;
modifier FUN1() {
require(msg.sender == VAR1);
_;
}
function FUN2() external FUN1 returns (uint) {
uint VAR2 = block.timestamp;
return VAR2;
}
}",77.sol,0,delegatecall
"contract CON1 {
uint VAR1 = 0;
function FUN1(uint256 VAR2) public returns (bool) {
require(VAR2 >= block.timestamp);
VAR1 = VAR2;
return true;
}
}",45.sol,0,delegatecall
"contract CON1 {
uint public VAR1 = 1499436000;
address public VAR2;
function FUN1() {
if (block.timestamp < VAR1) throw;
if (!VAR2.call.value(this.balance)()) throw;
}
}",42.sol,0,delegatecall
"contract CON1 {
function CON1(address VAR1) public {
VAR1.delegatecall(msg.data);
}
}",8304.sol,1,delegatecall
